id,owner,name,stars,url,business_model
614765452,Significant-Gravitas,AutoGPT,178668,https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT enables building autonomous AI agents for **SaaS**, **automation**, **chatbot** and white-label **services**, monetizable via **subscriptions**, **hosting services**, selling **templates**, project fees, **training** and **consulting**."
527591471,AUTOMATIC1111,stable-diffusion-webui,156858,https://github.com/AUTOMATIC1111/stable-diffusion-webui,"Turn AUTOMATIC1111's Stable Diffusion web UI into a revenue engine by offering **SaaS** image-generation **services**, paid **templates**, hosting, subscriptions, consulting, and project-based fees, white-label deployments."
658928958,ollama,ollama,153036,https://github.com/ollama/ollama,"Ollama enables deploying OSS LLMs (gpt-oss, DeepSeek‑R1, Gemma 3) to build **chatbot**, **SaaS**, and **automation** products, monetizable via subscriptions, hosting, templates, consulting, and project fees."
155220641,huggingface,transformers,150251,https://github.com/huggingface/transformers,"Leverage Hugging Face Transformers to build **SaaS** products, **chatbot** automation, and fine-tuned models—monetize via **subscriptions**, hosting/managed **services**, consulting, project fees, and selling **templates**."
193215554,n8n-io,n8n,140697,https://github.com/n8n-io/n8n,"n8n enables visual **automation** with 400+ integrations and native AI — monetize via **SaaS** subscriptions, self-host **hosting services**, project-based fees, selling **templates**, and consulting."
552661142,langchain-ai,langchain,116192,https://github.com/langchain-ai/langchain,"LangChain enables building context-aware AI apps (**chatbots**, **automation**) letting you monetize via **SaaS** subscriptions, **services**/consulting, project-based fees, **hosting services**, and selling **templates**."
626805178,langgenius,dify,114958,https://github.com/langgenius/dify,"Dify enables production-ready agentic workflow development to build **SaaS**, **automation**, and **chatbot** **services**, monetizable via subscriptions, managed hosting, project-based fees, selling **templates**, and consulting."
701547123,open-webui,open-webui,110915,https://github.com/open-webui/open-webui,"Open-webui’s user-friendly AI interface enables building **SaaS** chatbots and **automation** tools, monetizable via subscriptions, project-based fees, hosting **services**, selling **templates**, white-label deployments, and enterprise consulting."
589831718,comfyanonymous,ComfyUI,89321,https://github.com/comfyanonymous/ComfyUI,"ComfyUI's modular diffusion GUI/API lets you build a **SaaS** image-generation platform, sell node **templates**, offer hosted **services**, enterprise support, run subscriptions, project-based fees, and consulting."
214587193,supabase,supabase,89113,https://github.com/supabase/supabase,"Supabase provides managed Postgres and APIs to power web, mobile, and AI apps, enabling monetization via **SaaS subscriptions**, **hosting services**, **project-based fees**, **templates**, and **consulting**."
943398999,x1xhlol,system-prompts-and-models-of-ai-tools,87921,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,"Monetize a repo of system prompts and open-source AI models by building **SaaS** tools and **chatbot** automation, selling **templates**, subscriptions, hosting, project fees, and consulting."
10744183,netdata,netdata,76027,https://github.com/netdata/netdata,"Netdata delivers AI-powered full-stack observability to lean teams, enabling monetization via **SaaS** subscriptions, managed **hosting**/**services**, project-based fees, **consulting**, white-label solutions, and selling **templates** and **automation**."
695864515,hacksider,Deep-Live-Cam,73334,https://github.com/hacksider/Deep-Live-Cam,"Monetize Deep-Live-Cam’s real-time face-swap by offering **SaaS** platforms, paid **services**, subscription **hosting services**, project-based fees, white-label integrations, selling **templates**, consulting, **automation**, and NFT experiences."
881458615,browser-use,browser-use,70470,https://github.com/browser-use/browser-use,"Leverage browser-use to build AI web automation, chatbots, agent-enabled SaaS and white-label services—monetize via subscriptions, project fees, hosting, selling templates, APIs, NFT tools, consulting."
643445235,lobehub,lobe-chat,65875,https://github.com/lobehub/lobe-chat,"Open-source Lobe Chat builds private, multi-provider **chatbot** apps with RAG and one-click deploy — monetize via **SaaS** subscriptions, hosting **services**, project-based fees, selling **templates**, consulting."
730534580,infiniflow,ragflow,65141,https://github.com/infiniflow/ragflow,"RAGFlow enables building **SaaS** **chatbot** and **automation** platforms using RAG+agents; monetize via subscriptions, hosted **services**, managed project fees, selling **templates**, training, and consulting."
771302083,All-Hands-AI,OpenHands,63770,https://github.com/All-Hands-AI/OpenHands,"OpenHands provides modular AI **templates** and **automation** building blocks to launch **SaaS** or **chatbot** **services**, monetizable via subscriptions, project fees, hosting, template sales, and consulting."
787076358,firecrawl,firecrawl,59577,https://github.com/firecrawl/firecrawl,"Firecrawl turns websites into LLM-ready data enabling **SaaS**, **chatbot** **automation**, data-as-a-service **services**, sellable **templates** — monetizable via subscriptions, project-based fees, hosting services, selling templates, consulting"
646410686,hiyouga,LLaMA-Factory,59328,https://github.com/hiyouga/LLaMA-Factory,"LLaMA-Factory enables efficient fine-tuning of 100+ LLMs/VLMs to monetize via subscriptions (SaaS), hosting services, project-based fees, selling templates, chatbot automation, white-label solutions, and consulting."
599547518,vllm-project,vllm,58905,https://github.com/vllm-project/vllm,"vllm enables high-throughput, memory-efficient LLM inference to build **SaaS**, **hosting services**, **chatbot** platforms and automation — monetize via **subscriptions**, project-based fees, selling **templates**, and **consulting**."
660551251,FoundationAgents,MetaGPT,58697,https://github.com/FoundationAgents/MetaGPT,"MetaGPT’s multi-agent framework enables building **chatbot** and **automation** **SaaS**; monetize via **subscriptions**, project-based fees, **hosting services**, selling **templates**, AI **consulting**, custom integrations, enterprise licensing."
634224458,AntonOsika,gpt-engineer,54902,https://github.com/AntonOsika/gpt-engineer,"gpt-engineer CLI enables rapid AI codegen to build **SaaS**, **automation**, and **chatbot** offerings; monetize via subscriptions, project-based fees, hosting services, selling **templates**, and expert consulting."
130688011,meilisearch,meilisearch,53361,https://github.com/meilisearch/meilisearch,"Use Meilisearch's lightning-fast AI hybrid search to build **SaaS** search features, sell hosted **services**, support **automation** integrations, offer **consulting**, charge **subscriptions**, project fees, and **templates**."
680120071,microsoft,autogen,50164,https://github.com/microsoft/autogen,"Microsoft autogen — an agentic AI framework enabling development of autonomous **chatbot** and **automation** **services**, monetizable via subscriptions, hosting services, project-based fees, selling **templates**, and consulting."
943934999,FoundationAgents,OpenManus,49994,https://github.com/FoundationAgents/OpenManus,"OpenManus enables building customizable AI **automation** and authoring platforms or **SaaS** products, white-label support; monetize via **subscriptions**, **hosting services**, **project-based fees**, selling **templates**, and **consulting**."
649170660,Mintplex-Labs,anything-llm,49417,https://github.com/Mintplex-Labs/anything-llm,"Leverage the anything-llm Desktop/Docker RAG and no-code agent builder to offer **SaaS**, **chatbot** and **automation** **services**, monetized via subscriptions, project-based fees, hosting, selling **templates**, consulting."
725205304,unslothai,unsloth,46163,https://github.com/unslothai/unsloth,"Unsloth enables faster, low‑VRAM fine‑tuning of LLMs to monetize via **SaaS** platforms, managed hosting **services**, subscriptions, project‑based fees, selling **templates**, **automation**, **chatbot** integrations, and consulting."
44662669,dbeaver,dbeaver,45534,https://github.com/dbeaver/dbeaver,"Monetize DBeaver by offering paid **SaaS** subscriptions, enterprise **hosting**, connector **templates** for sale, licensed plugins, project-based fees, managed **services**, and **consulting**, integrations, training, premium support."
560704231,run-llama,llama_index,44434,https://github.com/run-llama/llama_index,"LlamaIndex builds LLM-powered agents over your data to monetize via **SaaS**, **chatbot** products, **automation**, selling **templates**, subscriptions, hosting, project-based fees, and consulting **services**."
621803253,FlowiseAI,Flowise,43929,https://github.com/FlowiseAI/Flowise,"Flowise enables visual AI agent and CHATBOT creation for SAAS, AUTOMATION and SERVICES; monetize via subscriptions, hosting, project fees, selling TEMPLATES and consulting."
422274596,hpcaitech,ColossalAI,41173,https://github.com/hpcaitech/ColossalAI,"Use ColossalAI to build high-performance model **SaaS**, offer managed **hosting** and **consulting** **services**, sell optimized model **templates**, enable **automation**, and charge subscriptions or project-based fees."
668195240,pathwaycom,llm-app,40708,https://github.com/pathwaycom/llm-app,"Prebuilt **templates** for RAG, AI pipelines, enterprise search **automation** syncing SharePoint/S3/Kafka to monetize as **SaaS** via subscriptions, hosting, project fees, template sales, and consulting."
656099147,mem0ai,mem0,40483,https://github.com/mem0ai/mem0,"mem0's universal AI memory enables secure local context for **chatbot** and **automation** products, monetizable via **SaaS** subscriptions, hosting services, project fees, consulting, and selling **templates**."
770153867,harry0703,MoneyPrinterTurbo,40077,https://github.com/harry0703/MoneyPrinterTurbo,"MoneyPrinterTurbo turns AI LLM one-click short-video generation into a monetizable **SaaS**/**automation** product—sell **templates**, white-label/API, provide **services**, hosting, subscriptions, ad-revenue, project fees, or consulting retainers."
519577891,upscayl,upscayl,39920,https://github.com/upscayl/upscayl,"Upscayl enables monetization of an open-source AI image upscaler via **SaaS** hosting, white-label **services**, subscriptions, per-project fees, API access, selling **templates**, priority support, and consulting."
826168160,docling-project,docling,39715,https://github.com/docling-project/docling,"Turn Docling into **SaaS** offering **automation** for document preprocessing for generative AI, enabling **chatbot** integrations and selling **templates**, subscription plans, hosting, consulting, and project fees."
522158088,zhayujie,chatgpt-on-wechat,39193,https://github.com/zhayujie/chatgpt-on-wechat,"Open-source WeChat LLM **chatbot** enabling **automation** and knowledge-base customization with voice image integration, monetizable through **SaaS** subscriptions, hosting **services**, project-based fees, selling **templates**, and consulting."
71932349,ray-project,ray,39098,https://github.com/ray-project/ray,"Use Ray's distributed runtime and libraries to deliver scalable **SaaS** products and **services** (hosted inference, **automation**, **chatbots**), monetized via subscriptions, hosting, project fees, **templates**, consulting."
624994625,suno-ai,bark,38535,https://github.com/suno-ai/bark,"Use Suno’s Bark to build **SaaS** voice-generation **services** and **automation**-driven **chatbots**, monetizing via subscriptions, project-based fees, hosting services, selling voice **templates**, consulting, and licensing."
710601088,crewAIInc,crewAI,38475,https://github.com/crewAIInc/crewAI,"CrewAI's agent-orchestration framework enables **automation** and collaborative **chatbot**/agent **services** for complex tasks, monetizable via **SaaS** subscriptions, **hosting**, project fees, **templates**, and consulting and enterprise integrations."
640079149,QuivrHQ,quivr,38471,https://github.com/QuivrHQ/quivr,"Quivr provides opinionated RAG integration for any LLM/vectorstore to build **chatbot**/**SaaS**/**automation** products — monetize via **subscriptions**, hosting services, selling **templates**, consulting and project fees."
119160553,photoprism,photoprism,38429,https://github.com/photoprism/photoprism,"Photoprism enables building an AI photo-management platform you can monetize via **SaaS** subscriptions, managed **hosting**/**services**, project-based development, premium **templates**, **automation**, paid **API** access, and **consulting**."
679506386,menloresearch,jan,38039,https://github.com/menloresearch/jan,"Jan lets you deploy a local **chatbot** for privacy focused apps; monetize via **SaaS** subscriptions, hosting **services**, project fees, selling **templates**, and consulting."
806709826,2noise,ChatTTS,37881,https://github.com/2noise/ChatTTS,"ChatTTS provides a generative dialogue-to-speech engine to build voice-enabled **chatbot** and **automation** **services**, enabling **SaaS** offerings monetizable via subscriptions, hosting, project fees, **templates**, and consulting."
208728772,milvus-io,milvus,37646,https://github.com/milvus-io/milvus,"Milvus enables scalable vector search for AI apps, letting you offer **SaaS**, **hosting services**, **chatbots** or recommendation engines and monetize through **subscriptions**, **project-based fees**, **templates**, or **consulting**."
393571599,babysor,MockingBird,36662,https://github.com/babysor/MockingBird,"MockingBird clones voices instantly for **SaaS** products, **services**, **chatbot** and content **automation**, monetizable via subscriptions, hosting fees, project contracts, selling **templates** or consulting."
143328315,mindsdb,mindsdb,36150,https://github.com/mindsdb/mindsdb,"MindsDB enables **AI**-driven SQL analytics and **automation** to answer large-scale data questions, enabling monetization via **SaaS** subscriptions, **hosting services**, project fees, selling **templates**, and **consulting**."
621799276,chatchat-space,Langchain-Chatchat,36148,https://github.com/chatchat-space/Langchain-Chatchat,"Use Langchain-Chatchat's **RAG**, **Agent**, and **chatbot** stack with local LLMs to create **SaaS**/**automation** products, sell **templates**, offer **hosting services**, **subscriptions**, project-based fees and consulting."
615869301,mudler,LocalAI,35478,https://github.com/mudler/LocalAI,"LocalAI enables a **self-hosted** OpenAI alternative, letting you monetize by offering **SaaS** subscriptions, **hosting** services, white‑label **chatbots**, automation, selling **templates**, project fees, and consulting."
783512367,RSSNext,Folo,34376,https://github.com/RSSNext/Folo,"Folo aggregates feeds so users can follow everything in one place — monetize as a **SaaS** feed-aggregation **service** with subscriptions, hosting, project-based fees, **templates**, and consulting."
488641606,agno-agi,agno,33861,https://github.com/agno-agi/agno,"agno enables building secure, high-performance multi-agent **automation** and **chatbot** platforms for cloud **services** and **SaaS**, monetizable via subscriptions, hosting, project fees, **templates**, and consulting."
738733003,danielmiessler,Fabric,33572,https://github.com/danielmiessler/Fabric,"Use Fabric’s modular AI prompt framework to build **SaaS**, **automation**, or **chatbot** **services**; monetize via subscriptions, hosting, selling **templates**, project-based fees, and **consulting**."
805155266,CherryHQ,cherry-studio,33523,https://github.com/CherryHQ/cherry-studio,"Cherry Studio's multi-LLM desktop client enables building **SaaS** tools, **chatbot** integrations and workflow **automation**, monetizable via subscriptions, hosting **services**, project fees, **templates**, and consulting directly."
679237742,Pythagora-io,gpt-pilot,33372,https://github.com/Pythagora-io/gpt-pilot,"gpt-pilot enables AI developer **automation** and **chatbot** solutions you can monetize via **subscriptions**, project-based fees, managed **hosting services**, **SaaS** offerings, selling **templates**, and consulting."
21467110,explosion,spaCy,32536,https://github.com/explosion/spaCy,"Use spaCy to build NLP-powered **SaaS**, **chatbot**, and **automation** products for enterprises, monetize via subscriptions, project-based fees, hosting **services**, selling **templates**, licensing, and consulting."
612640604,mckaywrigley,chatbot-ui,32361,https://github.com/mckaywrigley/chatbot-ui,"Use chatbot-ui to deploy customizable **chatbot** platforms and **automation** workflows with **enterprise** integrations, monetizing through **SaaS** subscriptions, **hosting services**, **project-based fees**, selling **templates**, and **consulting**."
614764248,TabbyML,tabby,32139,https://github.com/TabbyML/tabby,"Self-hosted Tabby lets you monetize an AI coding assistant via **SaaS** subscriptions, managed **hosting** and **services**, project-based fees, selling **templates**, **consulting**, and white-label offerings."
